LOCATION,CONTACT
REMDESIVIR,6319135082
REMDESIVIR,9098734550
REMDESIVIR,9926572345
REMDESIVIR,9977242800
REMDESIVIR,KAMLESH GUPTA - LUCKY MEDICAL SHOP - KHANDWA ROAD
REMDESIVIR,7600233746
FABIFLU,9977778957
FABIFLU,8319805724
FABIFLU,9718541733
FABIFLU,01140455667
FABIFLU,9644293929
FABIFLU,JAI SHREE KRISHNA MEDICOSE - ANAND BAZAAR - SAKET 
FABIFLU,9109666664
TOCILIZUMAB,9098734550
TOCILIZUMAB,07312306175
DHRUVI PHARMA - dhruviindore@gamil.com, 0731‑2577876/9303277446
D.N.SANGHVI & SONS - dns_sanghvi@yahoo.com,0731‑2306175/2306176
BAKLIWAL BROTHERS - bakliwal.brother@gmail.com,0731‑4084694/2704820
GOPI MEDICAL STORES - sunilkumarbhandari835@gmail.com,9226360694
VACCINE HUB - vaccinehubindore@gmail.com,0731‑4009366
Novacare Healthcare - indore@novacare.in,0731‑4959998
VINIT MEDICAL AGENCIES - virajnarang@gmail.com,0731‑4040113
DAWA BAZAR,9893052728
BEVACIZUMAB 400,97133071831
BEVACIZUMAB 400,9617008220
